"tract","rate","se","Town","Neighborhood","CT.County.Subdivisions","Towngroup","Color","County"
"4806",0.258472027270904,0.0508405647676521,"Enfield","",900325990,"Urban periphery","Orange","Hartford"
"4807",0.651660101294316,0.0756358455794047,"Enfield","",900325990,"Urban periphery","Orange","Hartford"
"4808",0.849728014505893,0.0428610218185408,"Enfield","",900325990,"Urban periphery","Orange","Hartford"
"4809",0.905750108084738,0.0647682410911726,"Enfield","",900325990,"Urban periphery","Orange","Hartford"
"4810",0.980837667670408,0.0352063379609126,"Enfield","",900325990,"Urban periphery","Orange","Hartford"
"4811",0.913032389696506,0.0419626368872402,"Enfield","",900325990,"Urban periphery","Orange","Hartford"
"4812",0.827445652173913,0.0719713182554426,"Enfield","",900325990,"Urban periphery","Orange","Hartford"
"4813",0.909776902887139,0.0440371551583628,"Enfield","",900325990,"Urban periphery","Orange","Hartford"
"4841",0.735885537509667,0.0652973389951453,"East Windsor","",900324800,"Rural","Orange","Hartford"
"4842",0.632292595896521,0.0401995114977038,"East Windsor","",900324800,"Rural","Orange","Hartford"
"4871",0.961431742508324,0.036006302112215,"South Windsor","",900371390,"Suburban","Grey","Hartford"
"4872.01",0.950562789671154,0.053861956033733,"South Windsor","",900371390,"Suburban","Grey","Hartford"
"4872.02",1,0.0431258424087814,"South Windsor","",900371390,"Suburban","Grey","Hartford"
"4873",0.92846034214619,0.0968346251095902,"South Windsor","",900371390,"Suburban","Grey","Hartford"
"4874",0.980046403712297,0.0498457286841632,"South Windsor","",900371390,"Suburban","Grey","Hartford"
"4875",0.877288545922227,0.0504943245098992,"South Windsor","",900371390,"Suburban","Grey","Hartford"
"4901",0.617627856365615,0.0505916755853605,"Rocky Hill","",900365370,"Urban periphery","Grey","Hartford"
"4903.02",0.685113636363636,0.0465994498632238,"Rocky Hill","",900365370,"Urban periphery","Grey","Hartford"
"4921",0.779040045441636,0.0489024474553303,"Wethersfield","",900384900,"Urban periphery","Grey","Hartford"
"4922",0.836222054760111,0.060639244730245,"Wethersfield","",900384900,"Urban periphery","Grey","Hartford"
"4923",0.682058512513218,0.0497121931612341,"Wethersfield","",900384900,"Urban periphery","Grey","Hartford"
"4924",0.938125894134478,0.0605023455008591,"Wethersfield","",900384900,"Urban periphery","Grey","Hartford"
"4925",0.997653958944282,0.0411725900279245,"Wethersfield","",900384900,"Urban periphery","Grey","Hartford"
"4926",0.898167873881551,0.029279728402117,"Wethersfield","",900384900,"Urban periphery","Grey","Hartford"
"4941",0.855024995690398,0.0492589171829031,"Newington","",900352140,"Urban periphery","Grey","Hartford"
"4942.01",0.787161441671998,0.0438487711397693,"Newington","",900352140,"Urban periphery","Grey","Hartford"
"4942.02",0.869081779053085,0.0506326858189077,"Newington","",900352140,"Urban periphery","Grey","Hartford"
"4943",0.900370828182942,0.0531085128066078,"Newington","",900352140,"Urban periphery","Grey","Hartford"
"4944",0.821788548144971,0.0467108572330122,"Newington","",900352140,"Urban periphery","Grey","Hartford"
"4945",0.805688232739904,0.051550408619994,"Newington","",900352140,"Urban periphery","Grey","Hartford"
"4946",0.898953662182362,0.049720296260932,"Newington","",900352140,"Urban periphery","Grey","Hartford"
"4961",0.622073578595318,0.10469398097185,"West Hartford","",900382590,"Urban periphery","Blue","Hartford"
"4962",0.903464807147527,0.0379256676410426,"West Hartford","",900382590,"Urban periphery","Blue","Hartford"
"4963",0.872011251758087,0.05386014099369,"West Hartford","",900382590,"Urban periphery","Blue","Hartford"
"4964",0.964488636363636,0.04113152910253,"West Hartford","",900382590,"Urban periphery","Blue","Hartford"
"4965",0.832152974504249,0.0387400275399223,"West Hartford","",900382590,"Urban periphery","Blue","Hartford"
"4966",0.996776504297994,0.0434998646857822,"West Hartford","",900382590,"Urban periphery","Blue","Hartford"
"4967",0.47136447611507,0.0616063394215832,"West Hartford","",900382590,"Urban periphery","Blue","Hartford"
"4968",0.788414468316562,0.0727445535589866,"West Hartford","",900382590,"Urban periphery","Blue","Hartford"
"4969",0.464454976303318,0.0478622131353306,"West Hartford","",900382590,"Urban periphery","Blue","Hartford"
"4970",0.958167796214069,0.0410838624448358,"West Hartford","",900382590,"Urban periphery","Blue","Hartford"
"4971",0.560519902518278,0.0393793661871704,"West Hartford","",900382590,"Urban periphery","Blue","Hartford"
"4972",0.805961070559611,0.0623509929782423,"West Hartford","",900382590,"Urban periphery","Blue","Hartford"
"4973",0.913697720734676,0.0453607340731876,"West Hartford","",900382590,"Urban periphery","Blue","Hartford"
"4974",0.959783449342614,0.0366463170564784,"West Hartford","",900382590,"Urban periphery","Blue","Hartford"
"4975",0.896201797622499,0.0514920973517188,"West Hartford","",900382590,"Urban periphery","Blue","Hartford"
"4976",0.848144952545298,0.0720968849818846,"West Hartford","",900382590,"Urban periphery","Blue","Hartford"
"4977",0.920934411500449,0.0453603474166989,"West Hartford","",900382590,"Urban periphery","Blue","Hartford"
"5001",0.175829498667958,0.0676187929285004,"Hartford","Barry Square",900337070,"Hartford","Red","Hartford"
"5002",0.079785035138487,0.0300463217024141,"Hartford","Barry Square",900337070,"Hartford","Red","Hartford"
"5003",0.0842663523865645,0.029458159642474,"Hartford","South Green",900337070,"Hartford","Red","Hartford"
"5004",0.0242253521126761,0.0234221822060603,"Hartford","Sheldon Charter Oak",900337070,"Hartford","Red","Hartford"
"5005",0.0475206611570248,0.0226323933647108,"Hartford","Sheldon Charter Oak",900337070,"Hartford","Red","Hartford"
"5007",NA,NA,"Hartford","North Meadows",900337070,"Hartford","Red","Hartford"
"5009",0.0688437775816417,0.0417448829510006,"Hartford","Clay Arsenal",900337070,"Hartford","Red","Hartford"
"5012",0.131392604248623,0.0650271729958801,"Hartford","Northeast",900337070,"Hartford","Red","Hartford"
"5013",0.0992990654205607,0.0431790270506669,"Hartford","Northeast",900337070,"Hartford","Red","Hartford"
"5014",0.176015473887814,0.0750911406739957,"Hartford","Upper Albany",900337070,"Hartford","Red","Hartford"
"5015",0.129612686794754,0.0389336718972905,"Hartford","Northeast",900337070,"Hartford","Red","Hartford"
"5017",0.00744416873449132,0.0219038855118175,"Hartford","Clay Arsenal",900337070,"Hartford","Red","Hartford"
"5018",0.188300449982693,0.0375058000482232,"Hartford","Clay Arsenal",900337070,"Hartford","Red","Hartford"
"5021",0.293275217932752,0.0579002540494404,"Hartford","Downtown",900337070,"Hartford","Red","Hartford"
"5023",0.561497326203209,0.0445927419072698,"Hartford","South End",900337070,"Hartford","Red","Hartford"
"5024",0.198861840025292,0.0466768578239209,"Hartford","South End",900337070,"Hartford","Red","Hartford"
"5025",0.299303944315545,0.077422110444041,"Hartford","South End",900337070,"Hartford","Red","Hartford"
"5026",0.288139646102343,0.0649415239015688,"Hartford","Barry Square",900337070,"Hartford","Red","Hartford"
"5027",0.135399124284271,0.0555317150979149,"Hartford","Barry Square",900337070,"Hartford","Red","Hartford"
"5028",0.0442083618917066,0.0187048522569741,"Hartford","Frog Hollow",900337070,"Hartford","Red","Hartford"
"5029",0.0678200692041522,0.0317550766072772,"Hartford","Frog Hollow",900337070,"Hartford","Red","Hartford"
"5030",0.0758293838862559,0.0255846663624257,"Hartford","Frog Hollow",900337070,"Hartford","Red","Hartford"
"5031",0.129963898916967,0.0643264812141434,"Hartford","Asylum Hill",900337070,"Hartford","Red","Hartford"
"5033",0.170533170533171,0.0574857566418341,"Hartford","Asylum Hill",900337070,"Hartford","Red","Hartford"
"5035",0.130141190914672,0.0643145843340412,"Hartford","Upper Albany",900337070,"Hartford","Red","Hartford"
"5037",0.289118065433855,0.0855106002483544,"Hartford","Upper Albany",900337070,"Hartford","Red","Hartford"
"5038",0.0269516728624535,0.0240295456790632,"Hartford","Blue Hills",900337070,"Hartford","Red","Hartford"
"5039",0.655956112852665,0.0795788828349915,"Hartford","Blue Hills",900337070,"Hartford","Red","Hartford"
"5040",0.449197860962567,0.0703325473893886,"Hartford","Blue Hills",900337070,"Hartford","Red","Hartford"
"5041",0.253083794130157,0.112945726455737,"Hartford","Parkville",900337070,"Hartford","Red","Hartford"
"5042",0.229658792650919,0.0553281291222758,"Hartford","West End",900337070,"Hartford","Red","Hartford"
"5043",0.199074074074074,0.0426625114571602,"Hartford","Parkville",900337070,"Hartford","Red","Hartford"
"5045",0.252998909487459,0.0450590874613414,"Hartford","Behind the Rocks",900337070,"Hartford","Red","Hartford"
"5048",0.64255677039529,0.0695253729592066,"Hartford","Southwest",900337070,"Hartford","Red","Hartford"
"5049",0.398741105637657,0.0681180170347417,"Hartford","Behind the Rocks",900337070,"Hartford","Red","Hartford"
"5101",0.515446466356327,0.0901124610613986,"East Hartford","",900322630,"Urban periphery","Orange","Hartford"
"5102",0.547829581993569,0.0695019203418746,"East Hartford","",900322630,"Urban periphery","Orange","Hartford"
"5103",0.486145528272133,0.0992814127178008,"East Hartford","",900322630,"Urban periphery","Orange","Hartford"
"5104",0.165796868727419,0.0498337007920553,"East Hartford","",900322630,"Urban periphery","Orange","Hartford"
"5105",0.40235792019347,0.0477966136937229,"East Hartford","",900322630,"Urban periphery","Orange","Hartford"
"5106",0.303324385711336,0.0628799252134196,"East Hartford","",900322630,"Urban periphery","Orange","Hartford"
"5107",0.655582426440951,0.0742966267164777,"East Hartford","",900322630,"Urban periphery","Orange","Hartford"
"5108",0.606453471622011,0.0654721731604791,"East Hartford","",900322630,"Urban periphery","Orange","Hartford"
"5109",0.949554069119287,0.0541882336994069,"East Hartford","",900322630,"Urban periphery","Orange","Hartford"
"5110",0.973371104815864,0.0423072827018298,"East Hartford","",900322630,"Urban periphery","Orange","Hartford"
"5111",0.932889628397116,0.0610863255981839,"East Hartford","",900322630,"Urban periphery","Orange","Hartford"
"5112",0.652731156545621,0.0601992684328979,"East Hartford","",900322630,"Urban periphery","Orange","Hartford"
"5113",0.374846625766871,0.0520213434309814,"East Hartford","",900322630,"Urban periphery","Orange","Hartford"
"5114",0.985106382978723,0.0891363606354401,"East Hartford","",900322630,"Urban periphery","Orange","Hartford"
"5141.01",0.880023296447292,0.052842467821799,"Manchester","",900344700,"Urban periphery","Grey","Hartford"
"5141.02",0.266535874439462,0.0409915208842273,"Manchester","",900344700,"Urban periphery","Grey","Hartford"
"5142",0.537190082644628,0.0591040645547571,"Manchester","",900344700,"Urban periphery","Grey","Hartford"
"5143",0.831151542045707,0.0572722272954094,"Manchester","",900344700,"Urban periphery","Grey","Hartford"
"5144",0.62926718252162,0.054851193894023,"Manchester","",900344700,"Urban periphery","Grey","Hartford"
"5145",0.772967772967773,0.0571728847202041,"Manchester","",900344700,"Urban periphery","Grey","Hartford"
"5146",0.380961923847695,0.0582210748166759,"Manchester","",900344700,"Urban periphery","Grey","Hartford"
"5147",0.251456310679612,0.0589859094726542,"Manchester","",900344700,"Urban periphery","Grey","Hartford"
"5148",0.573775216138328,0.0753734843764972,"Manchester","",900344700,"Urban periphery","Grey","Hartford"
"5149",0.973973607038123,0.0558020658135725,"Manchester","",900344700,"Urban periphery","Grey","Hartford"
"5150",0.886555938577248,0.0390644857879447,"Manchester","",900344700,"Urban periphery","Grey","Hartford"
"5151.01",0.757943143812709,0.0806976666900243,"Manchester","",900344700,"Urban periphery","Grey","Hartford"
"5151.02",0.648606271777003,0.0521113304564483,"Manchester","",900344700,"Urban periphery","Grey","Hartford"
"5152",0.841724537037037,0.0601645073070228,"Manchester","",900344700,"Urban periphery","Grey","Hartford"
"5201",0.970144011239902,0.0469999159132101,"Glastonbury","",900331240,"Suburban","Blue","Hartford"
"5202.01",0.989196675900277,0.0630084020890889,"Glastonbury","",900331240,"Suburban","Blue","Hartford"
"5202.02",0.989010989010989,0.0492743617327363,"Glastonbury","",900331240,"Suburban","Blue","Hartford"
"5203.01",0.691157894736842,0.0516484915349135,"Glastonbury","",900331240,"Suburban","Blue","Hartford"
"5203.02",0.556214865708932,0.0759932952193177,"Glastonbury","",900331240,"Suburban","Blue","Hartford"
"5204",0.898615787504676,0.0375951606712888,"Glastonbury","",900331240,"Suburban","Blue","Hartford"
"5205.01",0.906102229227651,0.057560893290517,"Glastonbury","",900331240,"Suburban","Blue","Hartford"
"5241",0.91385948026949,0.0387791400835201,"Marlborough","",900345820,"Suburban","Grey","Hartford"
"5242",0.782063833953397,0.0564780513030293,"Rocky Hill","",900365370,"Urban periphery","Grey","Hartford"
"5243",0.961093585699264,0.0497045572730104,"Enfield","",900325990,"Urban periphery","Orange","Hartford"
"5261.01",0.952214706524111,0.0419675332358673,"Hebron","",901337910,"Suburban","Blue","Tolland"
"5261.02",0.942675159235669,0.0360906967238694,"Hebron","",901337910,"Suburban","Blue","Tolland"
"5281",0.910423971947721,0.0526382282464676,"Andover","",901301080,"Rural","Grey","Tolland"
"5291",0.835531574740208,0.0363644880137347,"Bolton","",901306260,"Suburban","Grey","Tolland"
"5301",0.760977818017202,0.09163092927404,"Vernon","",901378250,"Urban periphery","Orange","Tolland"
"5302",0.410719754977029,0.051978787987139,"Vernon","",901378250,"Urban periphery","Orange","Tolland"
"5303.01",0.566854327938072,0.0466433574262302,"Vernon","",901378250,"Urban periphery","Orange","Tolland"
"5303.02",0.746927871772039,0.0462881227900852,"Vernon","",901378250,"Urban periphery","Orange","Tolland"
"5304",0.421052631578947,0.0478308690221876,"Vernon","",901378250,"Urban periphery","Orange","Tolland"
"5305",0.943618125216188,0.073473061148637,"Vernon","",901378250,"Urban periphery","Orange","Tolland"
"5306",0.993919885550787,0.0600824630335359,"Vernon","",901378250,"Urban periphery","Orange","Tolland"
"5331.01",0.958717610891524,0.0231843713420537,"Tolland","",901376290,"Suburban","Grey","Tolland"
"5331.02",0.942127215849844,0.0317066683125626,"Tolland","",901376290,"Suburban","Grey","Tolland"
"5351",0.767525953575178,0.0358341555882003,"Ellington","",901325360,"Suburban","Grey","Tolland"
"5352",0.775106916384014,0.0539668003144937,"Ellington","",901325360,"Suburban","Grey","Tolland"
"5381",NA,NA,"Somers","",901369220,"Rural","Orange","Tolland"
"5382.01",0.967431104259009,0.0586422016336376,"Somers","",901369220,"Rural","Orange","Tolland"
"5382.02",0.945601568243078,0.0690038982532028,"Somers","",901369220,"Rural","Orange","Tolland"
"8901",0.678282828282828,0.0678317470735111,"Stafford","",901372090,"Rural","Orange","Tolland"
"8902.01",0.941927409261577,0.0599381315795701,"Stafford","",901372090,"Rural","Orange","Tolland"
"8902.02",0.85489404641776,0.0708365852096638,"Stafford","",901372090,"Rural","Orange","Tolland"
"9800",NA,NA,"Windsor Locks","",900387070,"Urban periphery","Orange","Hartford"
