Dist. ID,Group,Year,Total Mathematics Number Tested,Total Mathematics Avg Scale Score,Total Reading ,Total Reading Average Scale Score,Total Writing ,Total Writing Avg Total Writing Scale Score
3,ELL,2010,-,-,-,-,-,-
3,Not ELL,2010,43,250.5,43,246.8,44,245.7
3,Ashford,2011,32,267.5,32,256.2,32,252.7
3,ELL,2011,-,-,-,-,-,-
3,Not ELL,2011,30,267.7,30,256.6,30,255.7
3,Ashford,2012,50,248.9,50,252.2,53,254.5
3,ELL,2012,-,-,-,-,-,-
3,Not ELL,2012,49,250.3,49,253.5,52,255.3
3,Ashford,2013,34,248.1,34,239.6,36,236.9
3,Not ELL,2013,34,248.1,34,239.6,36,236.9
4,Avon,2006,254,276.8,254,265,252,290
4,ELL,2006,-,-,-,-,-,-
4,Not ELL,2006,253,276.5,253,265.2,251,290.3
4,Avon,2007,262,276.7,261,261.4,261,286.9
4,ELL,2007,-,-,-,-,-,-
4,Not ELL,2007,261,276.6,260,261.6,260,287.1
4,Avon,2008,284,270.3,284,260.4,283,286.4
4,ELL,2008,-,-,-,-,-,-
4,Not ELL,2008,279,270.3,279,260.7,278,286.8
4,Avon,2009,293,274.5,293,262.4,296,277.9
4,ELL,2009,-,-,-,-,-,-
4,Not ELL,2009,288,275,287,263.3,291,278.4
4,Avon,2010,280,275.9,278,266.5,280,285.1
4,ELL,2010,-,-,-,-,-,-
4,Not ELL,2010,273,276.3,271,267.4,273,285.7
4,Avon,2011,259,278.2,260,261.4,263,283.9
4,ELL,2011,-,-,-,-,-,-
4,Not ELL,2011,250,279.5,251,263.3,254,285
4,Avon,2012,251,284.2,251,273,254,284.8
4,ELL,2012,-,-,-,-,-,-
4,Not ELL,2012,243,285.2,243,274.6,245,286.5
4,Avon,2013,250,275.6,249,275.4,250,280
4,ELL,2013,-,-,-,-,-,-
4,Not ELL,2013,248,275.6,247,275.6,248,280
5,Barkhamsted,2006,32,268.8,32,251.9,32,267.1
5,Not ELL,2006,32,268.8,32,251.9,32,267.1
5,Barkhamsted,2007,43,238.4,43,228.8,43,232
5,Not ELL,2007,43,238.4,43,228.8,43,232
5,Barkhamsted,2008,56,276,56,255.1,56,262.2
5,ELL,2008,-,-,-,-,-,-
5,Not ELL,2008,55,277.3,55,256.2,55,263.5
5,Barkhamsted,2009,53,266,53,242.1,54,254.1
5,Not ELL,2009,53,266,53,242.1,54,254.1
5,Barkhamsted,2010,51,284.1,51,258.7,51,267.3
5,Not ELL,2010,51,284.1,51,258.7,51,267.3
5,Barkhamsted,2011,34,270.3,33,258.2,35,262.2
5,Not ELL,2011,34,270.3,33,258.2,35,262.2
5,Barkhamsted,2012,60,274.5,59,249.7,62,254.9
5,ELL,2012,NA,NA,NA,NA,-,-
5,Not ELL,2012,60,274.5,59,249.7,61,256.1
5,Barkhamsted,2013,42,269.4,40,250.8,43,256.3
5,Not ELL,2013,42,269.4,40,250.8,43,256.3
7,Berlin,2006,227,266.6,227,246.4,226,270.6
7,ELL,2006,-,-,-,-,-,-
7,Not ELL,2006,211,268.7,211,248.4,210,272.2
7,Berlin,2007,254,278.2,254,253.6,254,267.6
7,ELL,2007,-,-,-,-,-,-
7,Not ELL,2007,246,279.2,246,254.6,246,269.1
7,Berlin,2008,227,267,226,251.5,227,266.2
7,ELL,2008,-,-,-,-,-,-
7,Not ELL,2008,216,267.7,215,252.2,216,266.9
7,Berlin,2009,238,271.7,238,247.6,243,263.7
7,ELL,2009,-,-,-,-,-,-
7,Not ELL,2009,225,272.7,225,248.1,230,264.3
7,Berlin,2010,236,273,236,250.8,236,262.1
7,ELL,2010,-,-,-,-,-,-
7,Not ELL,2010,232,273.7,232,251.1,232,262.6
7,Berlin,2011,201,275.8,200,249,202,255.4
7,ELL,2011,-,-,-,-,-,-
7,Not ELL,2011,194,278.6,193,250.7,195,256.7
7,Berlin,2012,233,273.3,233,245.4,237,255.6
7,ELL,2012,-,-,-,-,-,-
7,Not ELL,2012,227,274.6,227,246.2,231,255.9
7,Berlin,2013,204,269.7,204,248.4,203,258.1
7,ELL,2013,-,-,-,-,-,-
7,Not ELL,2013,200,270.6,200,249.5,199,258.4
8,Bethany,2006,87,271.1,85,253.3,85,262.5
8,Not ELL,2006,87,271.1,85,253.3,85,262.5
8,Bethany,2007,74,264.3,74,255.2,73,250.6
8,Not ELL,2007,74,264.3,74,255.2,73,250.6
8,Bethany,2008,82,266.7,82,245.6,82,258.7
8,Not ELL,2008,82,266.7,82,245.6,82,258.7
8,Bethany,2009,66,275.8,66,253.2,67,269.4
8,Not ELL,2009,66,275.8,66,253.2,67,269.4
8,Bethany,2010,76,269.6,77,252.5,78,256
8,Not ELL,2010,76,269.6,77,252.5,78,256
8,Bethany,2011,71,262.1,71,257.7,74,248.3
8,Not ELL,2011,71,262.1,71,257.7,74,248.3
8,Bethany,2012,69,270.6,69,260.7,73,254.8
8,Not ELL,2012,69,270.6,69,260.7,73,254.8
8,Bethany,2013,60,258.9,60,246.7,65,247.5
8,Not ELL,2013,60,258.9,60,246.7,65,247.5
9,Bethel,2006,211,282.4,211,252,209,272.2
9,ELL,2006,-,-,-,-,-,-
9,Not ELL,2006,197,285,197,254.2,195,274.9
9,Bethel,2007,238,278.1,238,252.6,238,266.4
9,ELL,2007,-,-,-,-,-,-
9,Not ELL,2007,219,280.8,219,255.6,219,269.5
9,Bethel,2008,220,283.9,220,255.9,220,270.4
9,ELL,2008,-,-,-,-,-,-
9,Not ELL,2008,205,286.2,205,258.5,205,273.1
9,Bethel,2009,205,289.6,199,261.5,209,278.8
9,ELL,2009,-,-,-,-,-,-
9,Not ELL,2009,194,289.9,189,262.1,198,279.8
9,Bethel,2010,230,285,227,258,230,270.4
9,ELL,2010,-,-,-,-,-,-
9,Not ELL,2010,217,285.4,214,257.6,217,271.5
9,Bethel,2011,197,287.1,195,259.3,197,273.4
9,ELL,2011,-,-,-,-,-,-
9,Not ELL,2011,185,287.3,184,259.2,185,274.7
9,Bethel,2012,212,276.5,212,257.4,218,266.9
9,ELL,2012,-,-,-,-,-,-
9,Not ELL,2012,203,277,203,258.5,208,268.2
9,Bethel,2013,171,278.2,171,263.6,171,273.1
9,ELL,2013,-,-,-,-,-,-
9,Not ELL,2013,164,280.1,164,264.7,164,274.1
11,Bloomfield,2006,183,253,183,227.9,181,250.7
11,Not ELL,2006,183,253,183,227.9,181,250.7
11,Bloomfield,2007,159,246.5,159,225.2,159,254.7
11,Not ELL,2007,159,246.5,159,225.2,159,254.7
11,Bloomfield,2008,171,249.3,171,225.8,171,250.2
11,Not ELL,2008,171,249.3,171,225.8,171,250.2
11,Bloomfield,2009,164,239.5,163,224.6,171,245.5
11,Not ELL,2009,164,239.5,163,224.6,171,245.5
11,Bloomfield,2010,144,239.4,141,230.1,151,243.2
11,ELL,2010,-,-,-,-,-,-
11,Not ELL,2010,142,239.9,139,231,149,243.7
11,Bloomfield,2011,128,247.4,127,229.9,132,250
11,ELL,2011,-,-,-,-,-,-
11,Not ELL,2011,125,248.5,124,229.9,129,250.7
11,Bloomfield,2012,115,252.9,110,238.6,116,249.3
11,ELL,2012,-,-,-,-,-,-
11,Not ELL,2012,110,252.8,105,239.1,111,249.7
11,Bloomfield,2013,107,261.7,103,257.3,109,260.6
11,ELL,2013,-,-,-,-,-,-
11,Not ELL,2013,106,261.6,102,257.2,108,259.7
12,Bolton,2006,66,262.5,65,242,65,254
12,ELL,2006,-,-,-,-,-,-
12,Not ELL,2006,64,263.5,64,242.9,64,254.3
12,Bolton,2007,71,294.1,71,256.1,71,276.1
12,Not ELL,2007,71,294.1,71,256.1,71,276.1
12,Bolton,2008,58,280.2,57,249.1,58,278.3
12,Not ELL,2008,58,280.2,57,249.1,58,278.3
12,Bolton,2009,56,277.5,55,250.4,56,265.6
12,Not ELL,2009,56,277.5,55,250.4,56,265.6
12,Bolton,2010,54,284.7,53,249.4,56,273.1
12,Not ELL,2010,54,284.7,53,249.4,56,273.1
12,Bolton,2011,47,270.1,47,246.3,51,254.7
12,ELL,2011,-,-,-,-,-,-
12,Not ELL,2011,46,272.1,46,248.5,50,256.7
12,Bolton,2012,53,269,52,247.3,53,261.3
12,Not ELL,2012,53,269,52,247.3,53,261.3
12,Bolton,2013,61,259,60,256,62,263.9
12,ELL,2013,-,-,-,-,-,-
12,Not ELL,2013,60,259.7,59,256.4,61,264.4
13,Bozrah,2006,23,248.4,23,232.5,23,236
13,Not ELL,2006,23,248.4,23,232.5,23,236
13,Bozrah,2007,21,251,21,253.3,21,253.6
13,Not ELL,2007,21,251,21,253.3,21,253.6
13,Bozrah,2008,25,245,25,246,25,275.3
13,Not ELL,2008,25,245,25,246,25,275.3
13,Bozrah,2009,27,254.8,27,242.5,27,243.6
13,ELL,2009,-,-,-,-,-,-
13,Not ELL,2009,25,258.9,25,244.2,25,243.2
13,Bozrah,2010,20,291.6,20,267,21,277.4
13,Not ELL,2010,20,291.6,20,267,21,277.4
13,Bozrah,2011,20,276.5,-,-,21,230
13,Not ELL,2011,20,276.5,-,-,21,230
13,Bozrah,2012,-,-,-,-,-,-
13,Not ELL,2012,-,-,-,-,-,-
13,Bozrah,2013,23,245.2,23,248.5,23,239.3
13,Not ELL,2013,23,245.2,23,248.5,23,239.3
14,Branford,2006,249,273.6,250,254.4,249,266
14,ELL,2006,-,-,-,-,-,-
14,Not ELL,2006,239,274.6,240,254.9,239,266.9
14,Branford,2007,260,268.4,263,250.9,262,254.6
14,ELL,2007,-,-,-,-,-,-
14,Not ELL,2007,252,268.9,255,252.1,254,255.9
14,Branford,2008,257,259.3,255,244.1,255,254.3
14,ELL,2008,-,-,-,-,-,-
14,Not ELL,2008,246,260.7,244,245.8,244,256.1
14,Branford,2009,232,258.1,230,245,237,258.6
14,ELL,2009,-,-,-,-,-,-
14,Not ELL,2009,228,259,226,245.5,233,259.1
14,Branford,2010,229,265.5,223,242.8,231,251.6
14,ELL,2010,-,-,-,-,-,-
14,Not ELL,2010,213,268.1,208,246.2,215,255.2
14,Branford,2011,240,271.2,228,252,243,254.8
14,ELL,2011,-,-,-,-,-,-
14,Not ELL,2011,229,272.8,218,253.9,233,256.7
14,Branford,2012,227,281.8,217,257.3,228,260.7
14,ELL,2012,-,-,-,-,-,-
14,Not ELL,2012,212,284.6,202,260.7,213,263.8
14,Branford,2013,221,261.3,212,244.3,224,249
14,ELL,2013,-,-,-,-,-,-
14,Not ELL,2013,213,263.6,205,246.2,215,251.5
15,Bridgeport,2006,1673,215.4,1659,207.7,1596,222.1
15,ELL,2006,252,217.3,250,201.3,234,217.9
15,Not ELL,2006,1421,215.1,1409,208.8,1362,222.8
15,Bridgeport,2007,1674,213.6,1675,205.2,1627,221.7
15,ELL,2007,192,204.8,191,187.9,185,210.2
15,Not ELL,2007,1482,214.8,1484,207.5,1442,223.2
15,Bridgeport,2008,1552,214,1539,206.5,1506,223.1
15,ELL,2008,128,187.8,126,178.5,115,196.9
15,Not ELL,2008,1424,216.3,1413,209,1391,225.2
15,Bridgeport,2009,1640,214.8,1634,206.2,1638,221.9
15,ELL,2009,194,194.6,193,180,189,204.4
15,Not ELL,2009,1446,217.5,1441,209.7,1449,224.2
15,Bridgeport,2010,1515,217.6,1497,206.7,1507,221.8
15,ELL,2010,192,195.1,186,178,187,195.5
15,Not ELL,2010,1323,220.8,1311,210.7,1320,225.5
15,Bridgeport,2011,1623,215.6,1604,205.4,1612,217.7
15,ELL,2011,169,195.7,160,175.2,157,193.1
15,Not ELL,2011,1454,217.9,1444,208.7,1455,220.4
15,Bridgeport,2012,1566,223.7,1558,210,1625,221.7
15,ELL,2012,133,201.2,134,182.8,143,199.2
15,Not ELL,2012,1433,225.8,1424,212.5,1482,223.8
15,Bridgeport,2013,1577,213.7,1567,208.4,1609,222.1
15,ELL,2013,182,188.5,180,177.5,181,196.6
15,Not ELL,2013,1395,217,1387,212.5,1428,225.3
17,Bristol,2006,642,256.6,642,234.1,636,251.9
17,ELL,2006,20,218.4,20,197.7,-,-
17,Not ELL,2006,622,257.8,622,235.2,617,252.7
17,Bristol,2007,670,254.4,667,231.6,669,249
17,ELL,2007,23,194.5,23,183,23,209.9
17,Not ELL,2007,647,256.5,644,233.4,646,250.4
17,Bristol,2008,631,261.7,630,234.6,627,258.1
17,ELL,2008,22,223,22,195.2,22,227.1
17,Not ELL,2008,609,263.1,608,236,605,259.2
17,Bristol,2009,573,258.5,553,238,583,252.2
17,ELL,2009,24,213.8,21,193.8,24,219
17,Not ELL,2009,549,260.4,532,239.7,559,253.6
17,Bristol,2010,612,251,605,227.7,610,245.6
17,ELL,2010,20,205,20,187.8,20,209.5
17,Not ELL,2010,592,252.6,585,229.1,590,246.8
17,Bristol,2011,531,256.4,527,232.4,527,241.9
17,ELL,2011,-,-,-,-,-,-
17,Not ELL,2011,513,257.9,509,233.8,510,242.8
17,Bristol,2012,609,256.4,603,232.9,619,243.5
17,ELL,2012,-,-,-,-,-,-
17,Not ELL,2012,599,257.3,593,233.8,608,244.3
17,Bristol,2013,576,245.7,575,228.8,572,239.6
17,ELL,2013,-,-,-,-,-,-
17,Not ELL,2013,557,247,558,229.9,555,240.5
18,Brookfield,2006,205,271.8,205,252.6,204,267.5
18,ELL,2006,-,-,-,-,-,-
18,Not ELL,2006,203,272.2,203,253.2,202,268.1
18,Brookfield,2007,190,274.4,190,260.6,189,278.2
18,ELL,2007,-,-,-,-,-,-
18,Not ELL,2007,189,274.7,189,261,188,278.5
18,Brookfield,2008,230,278.7,228,254.5,227,277.8
18,Not ELL,2008,230,278.7,228,254.5,227,277.8
18,Brookfield,2009,189,271.3,188,254.5,190,275
18,ELL,2009,-,-,-,-,-,-
18,Not ELL,2009,187,271.7,186,254.8,188,275.6
18,Brookfield,2010,191,274,194,253,195,261.8
18,ELL,2010,-,-,-,-,-,-
18,Not ELL,2010,190,274.1,193,253.3,194,262.2
18,Brookfield,2011,165,271,166,254.3,166,270.1
18,Not ELL,2011,165,271,166,254.3,166,270.1
18,Brookfield,2012,207,274.3,206,258.2,210,268.2
18,ELL,2012,-,-,-,-,-,-
18,Not ELL,2012,204,274.5,203,258.6,207,268.5
18,Brookfield,2013,207,271.2,208,260.7,207,254.2
18,ELL,2013,-,-,-,-,-,-
18,Not ELL,2013,206,271.4,207,261,206,254.5
19,Brooklyn,2006,93,259.8,93,239.1,92,257.6
19,Not ELL,2006,93,259.8,93,239.1,92,257.6
19,Brooklyn,2007,94,245.5,93,236.2,94,251.9
19,Not ELL,2007,94,245.5,93,236.2,94,251.9
19,Brooklyn,2008,101,242,101,231.1,101,248
19,Not ELL,2008,101,242,101,231.1,101,248
19,Brooklyn,2009,88,251.8,88,234.1,88,251.2
19,Not ELL,2009,88,251.8,88,234.1,88,251.2
19,Brooklyn,2010,111,239.9,111,233.2,111,243.3
19,Not ELL,2010,111,239.9,111,233.2,111,243.3
19,Brooklyn,2011,92,258.6,93,241.1,94,255.6
19,Not ELL,2011,92,258.6,93,241.1,94,255.6
19,Brooklyn,2012,83,267.2,84,249,84,256.2
19,Not ELL,2012,83,267.2,84,249,84,256.2
19,Brooklyn,2013,77,252.5,77,242.9,77,248.7
19,Not ELL,2013,77,252.5,77,242.9,77,248.7
22,Canterbury,2006,59,249.4,59,239.9,59,238.8
22,Not ELL,2006,59,249.4,59,239.9,59,238.8
22,Canterbury,2007,47,258,47,239.6,47,245.9
22,Not ELL,2007,47,258,47,239.6,47,245.9
22,Canterbury,2008,57,248.4,57,231.2,57,258.4
22,Not ELL,2008,57,248.4,57,231.2,57,258.4
22,Canterbury,2009,46,264.1,44,246.1,46,252.7
22,Not ELL,2009,46,264.1,44,246.1,46,252.7
22,Canterbury,2010,59,261.3,57,252.3,60,256
22,Not ELL,2010,59,261.3,57,252.3,60,256
22,Canterbury,2011,69,267.9,68,250.4,69,260.1
22,Not ELL,2011,69,267.9,68,250.4,69,260.1
22,Canterbury,2012,65,267.8,64,253.3,66,255.6
22,Not ELL,2012,65,267.8,64,253.3,66,255.6
22,Canterbury,2013,37,265.5,37,252.9,37,266.7
22,Not ELL,2013,37,265.5,37,252.9,37,266.7
23,Canton,2006,140,261.8,140,257.2,140,273.8
23,ELL,2006,-,-,-,-,-,-
23,Not ELL,2006,139,261,139,256.9,139,273.8
23,Canton,2007,116,263.5,116,253.7,116,266.6
23,ELL,2007,-,-,-,-,-,-
23,Not ELL,2007,115,263.7,115,253.7,115,266.5
23,Canton,2008,136,268.1,136,248.9,136,268.6
23,ELL,2008,-,-,-,-,-,-
23,Not ELL,2008,134,268.8,134,249.4,134,268.8
23,Canton,2009,129,283.7,128,269,130,285.2
23,ELL,2009,-,-,-,-,-,-
23,Not ELL,2009,127,285.9,127,269.8,129,286.2
23,Canton,2010,127,274.1,125,256.1,128,262
23,ELL,2010,-,-,-,-,-,-
23,Not ELL,2010,126,274.6,124,256.5,126,263.2
23,Canton,2011,140,265.9,140,251.5,140,262.1
23,ELL,2011,-,-,-,-,-,-
23,Not ELL,2011,139,266.2,139,251.9,139,262.3
23,Canton,2012,147,280.5,149,263.3,151,265.8
23,Not ELL,2012,147,280.5,149,263.3,151,265.8
23,Canton,2013,130,290.4,130,265.1,133,278.9
23,Not ELL,2013,130,290.4,130,265.1,133,278.9
24,Chaplin,2006,32,231.6,32,223,31,237.8
24,Not ELL,2006,32,231.6,32,223,31,237.8
24,Chaplin,2007,20,209,20,211.8,20,211.1
24,Not ELL,2007,20,209,20,211.8,20,211.1
24,Chaplin,2008,29,218,29,227.6,28,256.6
24,Not ELL,2008,29,218,29,227.6,28,256.6
24,Chaplin,2009,-,-,-,-,-,-
24,Not ELL,2009,-,-,-,-,-,-
24,Chaplin,2010,-,-,-,-,-,-
24,Not ELL,2010,-,-,-,-,-,-
24,Chaplin,2011,23,242.1,23,233.5,23,244.1
24,Not ELL,2011,23,242.1,23,233.5,23,244.1
24,Chaplin,2012,20,227,20,236.7,20,223.7
24,Not ELL,2012,20,227,20,236.7,20,223.7
24,Chaplin,2013,20,230.1,-,-,23,209.4
24,ELL,2013,NA,NA,NA,NA,-,-
24,Not ELL,2013,20,230.1,-,-,22,210.3
25,Cheshire,2006,392,275,392,255.5,387,262.8
25,ELL,2006,-,-,-,-,-,-
25,Not ELL,2006,390,274.6,390,255.4,385,262.5
25,Cheshire,2007,381,273.9,381,248.8,380,265.9
25,ELL,2007,-,-,-,-,-,-
25,Not ELL,2007,380,274.2,380,249.1,379,266.2
25,Cheshire,2008,363,279.7,363,252.7,363,269.8
25,ELL,2008,-,-,-,-,-,-
25,Not ELL,2008,360,280,360,253,360,270
25,Cheshire,2009,327,274.9,325,255.8,333,277.2
25,ELL,2009,-,-,-,-,-,-
25,Not ELL,2009,324,275.3,322,256.3,330,277.6
25,Cheshire,2010,355,274.3,348,254.9,354,279.8
25,ELL,2010,-,-,-,-,-,-
25,Not ELL,2010,353,274.8,346,255.4,352,280
25,Cheshire,2011,340,272.3,341,260.5,347,274.8
25,ELL,2011,-,-,-,-,-,-
25,Not ELL,2011,339,272.5,340,260.7,346,275
25,Cheshire,2012,342,280.2,340,256,347,272.3
25,ELL,2012,-,-,-,-,-,-
25,Not ELL,2012,338,280.4,336,256.4,343,272.7
25,Cheshire,2013,364,264.3,364,253.6,367,267.8
25,ELL,2013,-,-,-,-,-,-
25,Not ELL,2013,360,264.9,360,254.2,363,268
26,Chester,2006,54,246.5,54,248.7,52,251.1
26,Not ELL,2006,54,246.5,54,248.7,52,251.1
26,Chester,2007,52,260.5,52,244.2,51,251.2
26,Not ELL,2007,52,260.5,52,244.2,51,251.2
26,Chester,2008,42,263.8,41,251.5,41,268.1
26,Not ELL,2008,42,263.8,41,251.5,41,268.1
26,Chester,2009,37,283.9,37,259.4,40,255.6
26,Not ELL,2009,37,283.9,37,259.4,40,255.6
26,Chester,2010,43,281.2,40,263.8,44,253.9
26,Not ELL,2010,43,281.2,40,263.8,44,253.9
26,Chester,2011,42,283.9,42,264.7,41,266.6
26,Not ELL,2011,42,283.9,42,264.7,41,266.6
26,Chester,2012,35,290.6,34,265,37,261.6
26,Not ELL,2012,35,290.6,34,265,37,261.6
26,Chester,2013,38,288.7,35,274.8,39,270.8
26,Not ELL,2013,38,288.7,35,274.8,39,270.8
27,Clinton,2006,170,265,170,251.7,168,264.4
27,ELL,2006,-,-,-,-,-,-
27,Not ELL,2006,166,264.8,166,252.1,164,264.9
27,Clinton,2007,163,260.3,163,251,163,265.5
27,Not ELL,2007,163,260.3,163,251,163,265.5
27,Clinton,2008,147,257.4,147,245.6,147,269.6
27,ELL,2008,-,-,-,-,-,-
27,Not ELL,2008,146,258,146,246.1,146,270
27,Clinton,2009,153,254.4,152,237,153,266.1
27,ELL,2009,-,-,-,-,-,-
27,Not ELL,2009,149,256,148,238.5,149,267.4
27,Clinton,2010,152,258.8,151,246.7,153,256.1
27,ELL,2010,-,-,-,-,-,-
27,Not ELL,2010,147,260,146,249.1,148,257.7
27,Clinton,2011,163,254.6,163,246.7,168,266.8
27,ELL,2011,-,-,-,-,-,-
27,Not ELL,2011,162,255,162,247.2,166,267.3
27,Clinton,2012,143,277.7,142,259.8,145,271.2
27,Not ELL,2012,143,277.7,142,259.8,145,271.2
27,Clinton,2013,135,266.5,135,251,136,269.1
27,ELL,2013,-,-,-,-,-,-
27,Not ELL,2013,133,267.3,133,251.9,134,269.4
28,Colchester,2006,228,253.9,228,235,228,250.2
28,ELL,2006,-,-,-,-,-,-
28,Not ELL,2006,226,253.7,226,235.4,226,250.7
28,Colchester,2007,239,254.5,239,235.8,237,254.2
28,ELL,2007,-,-,-,-,-,-
28,Not ELL,2007,238,254.7,238,236.1,236,254.4
28,Colchester,2008,214,256.1,214,239.4,214,260.2
28,ELL,2008,-,-,-,-,-,-
28,Not ELL,2008,211,257.2,211,240,211,260.7
28,Colchester,2009,229,265.7,227,247.3,240,252.6
28,ELL,2009,-,-,-,-,-,-
28,Not ELL,2009,228,265.7,226,247.5,239,252.7
28,Colchester,2010,233,258.2,230,250,232,249.8
28,Not ELL,2010,233,258.2,230,250,232,249.8
28,Colchester,2011,215,254.3,210,242,215,253.1
28,ELL,2011,-,-,-,-,-,-
28,Not ELL,2011,213,254.8,208,242.6,213,253.5
28,Colchester,2012,195,274.3,193,254.1,199,256.2
28,ELL,2012,-,-,-,-,-,-
28,Not ELL,2012,194,274.7,192,254.5,198,256.5
28,Colchester,2013,215,261.6,215,247.8,217,250.9
28,ELL,2013,-,-,-,-,-,-
28,Not ELL,2013,212,262.1,212,248.3,214,251.2
29,Colebrook,2006,-,-,-,-,-,-
29,Not ELL,2006,-,-,-,-,-,-
29,Colebrook,2007,-,-,-,-,-,-
29,Not ELL,2007,-,-,-,-,-,-
29,Colebrook,2008,-,-,-,-,-,-
29,Not ELL,2008,-,-,-,-,-,-
29,Colebrook,2009,-,-,-,-,-,-
29,Not ELL,2009,-,-,-,-,-,-
29,Colebrook,2010,21,256.6,21,243,21,241.4
29,Not ELL,2010,21,256.6,21,243,21,241.4
29,Colebrook,2011,-,-,-,-,-,-
29,Not ELL,2011,-,-,-,-,-,-
29,Colebrook,2012,-,-,-,-,-,-
29,Not ELL,2012,-,-,-,-,-,-
29,Colebrook,2013,-,-,-,-,-,-
29,Not ELL,2013,-,-,-,-,-,-
30,Columbia,2006,54,241.6,52,229.5,53,238.7
30,Not ELL,2006,54,241.6,52,229.5,53,238.7
30,Columbia,2007,62,245,62,225.3,60,228
30,Not ELL,2007,62,245,62,225.3,60,228
30,Columbia,2008,66,253.6,66,237.8,65,262.2
30,Not ELL,2008,66,253.6,66,237.8,65,262.2
30,Columbia,2009,64,272.1,63,242.7,65,264.4
30,Not ELL,2009,64,272.1,63,242.7,65,264.4
30,Columbia,2010,56,251.2,56,244.6,57,255.7
30,Not ELL,2010,56,251.2,56,244.6,57,255.7
30,Columbia,2011,58,265.6,57,238.5,58,247.8
30,Not ELL,2011,58,265.6,57,238.5,58,247.8
30,Columbia,2012,52,269.7,52,241.4,52,269.8
30,Not ELL,2012,52,269.7,52,241.4,52,269.8
30,Columbia,2013,42,247.4,42,236.1,44,265.3
30,Not ELL,2013,42,247.4,42,236.1,44,265.3
32,Coventry,2006,161,246.9,161,235,159,253.1
32,Not ELL,2006,161,246.9,161,235,159,253.1
32,Coventry,2007,150,262.8,149,243.1,149,251.7
32,Not ELL,2007,150,262.8,149,243.1,149,251.7
32,Coventry,2008,156,264.6,156,247.6,155,262.5
32,Not ELL,2008,156,264.6,156,247.6,155,262.5
32,Coventry,2009,145,266.8,141,244.7,147,256.3
32,Not ELL,2009,145,266.8,141,244.7,147,256.3
32,Coventry,2010,118,272.2,114,247.7,118,252.7
32,Not ELL,2010,118,272.2,114,247.7,118,252.7
32,Coventry,2011,145,267.4,143,246.1,147,249.6
32,Not ELL,2011,145,267.4,143,246.1,147,249.6
32,Coventry,2012,133,278.1,132,257.7,136,262.4
