Dist. ID,Category,Status,District,Year,Total Reading,Total Reading Average Scale Score
5,ELL,Not ELL,Barkhamsted,2007,43,228.8
5,ELL,ELL,Barkhamsted,2008,-,-
5,ELL,Not ELL,Barkhamsted,2008,55,256.2
5,ELL,Not ELL,Barkhamsted,2009,53,242.1
5,ELL,Not ELL,Barkhamsted,2010,51,258.7
5,ELL,Not ELL,Barkhamsted,2011,33,258.2
5,ELL,ELL,Barkhamsted,2012,NA,NA
5,ELL,Not ELL,Barkhamsted,2012,59,249.7
5,ELL,Not ELL,Barkhamsted,2013,40,250.8
7,ELL,ELL,Berlin,2006,-,-
7,ELL,Not ELL,Berlin,2006,211,248.4
7,ELL,ELL,Berlin,2007,-,-
7,ELL,Not ELL,Berlin,2007,246,254.6
7,ELL,ELL,Berlin,2008,-,-
7,ELL,Not ELL,Berlin,2008,215,252.2
7,ELL,ELL,Berlin,2009,-,-
7,ELL,Not ELL,Berlin,2009,225,248.1
7,ELL,ELL,Berlin,2010,-,-
7,ELL,Not ELL,Berlin,2010,232,251.1
7,ELL,ELL,Berlin,2011,-,-
7,ELL,Not ELL,Berlin,2011,193,250.7
7,ELL,ELL,Berlin,2012,-,-
7,ELL,Not ELL,Berlin,2012,227,246.2
7,ELL,ELL,Berlin,2013,-,-
7,ELL,Not ELL,Berlin,2013,200,249.5
8,ELL,Not ELL,Bethany,2006,85,253.3
8,ELL,Not ELL,Bethany,2007,74,255.2
8,ELL,Not ELL,Bethany,2008,82,245.6
8,ELL,Not ELL,Bethany,2009,66,253.2
8,ELL,Not ELL,Bethany,2010,77,252.5
8,ELL,Not ELL,Bethany,2011,71,257.7
8,ELL,Not ELL,Bethany,2012,69,260.7
8,ELL,Not ELL,Bethany,2013,60,246.7
9,ELL,ELL,Bethel,2006,-,-
9,ELL,Not ELL,Bethel,2006,197,254.2
9,ELL,ELL,Bethel,2007,-,-
9,ELL,Not ELL,Bethel,2007,219,255.6
9,ELL,ELL,Bethel,2008,-,-
9,ELL,Not ELL,Bethel,2008,205,258.5
9,ELL,ELL,Bethel,2009,-,-
9,ELL,Not ELL,Bethel,2009,189,262.1
9,ELL,ELL,Bethel,2010,-,-
9,ELL,Not ELL,Bethel,2010,214,257.6
9,ELL,ELL,Bethel,2011,-,-
9,ELL,Not ELL,Bethel,2011,184,259.2
9,ELL,ELL,Bethel,2012,-,-
9,ELL,Not ELL,Bethel,2012,203,258.5
9,ELL,ELL,Bethel,2013,-,-
9,ELL,Not ELL,Bethel,2013,164,264.7
11,ELL,Not ELL,Bloomfield,2006,183,227.9
11,ELL,Not ELL,Bloomfield,2007,159,225.2
11,ELL,Not ELL,Bloomfield,2008,171,225.8
11,ELL,Not ELL,Bloomfield,2009,163,224.6
11,ELL,ELL,Bloomfield,2010,-,-
11,ELL,Not ELL,Bloomfield,2010,139,231
11,ELL,ELL,Bloomfield,2011,-,-
11,ELL,Not ELL,Bloomfield,2011,124,229.9
11,ELL,ELL,Bloomfield,2012,-,-
11,ELL,Not ELL,Bloomfield,2012,105,239.1
11,ELL,ELL,Bloomfield,2013,-,-
11,ELL,Not ELL,Bloomfield,2013,102,257.2
12,ELL,ELL,Bolton,2006,-,-
12,ELL,Not ELL,Bolton,2006,64,242.9
12,ELL,Not ELL,Bolton,2007,71,256.1
12,ELL,Not ELL,Bolton,2008,57,249.1
12,ELL,Not ELL,Bolton,2009,55,250.4
12,ELL,Not ELL,Bolton,2010,53,249.4
12,ELL,ELL,Bolton,2011,-,-
12,ELL,Not ELL,Bolton,2011,46,248.5
12,ELL,Not ELL,Bolton,2012,52,247.3
12,ELL,ELL,Bolton,2013,-,-
12,ELL,Not ELL,Bolton,2013,59,256.4
13,ELL,Not ELL,Bozrah,2006,23,232.5
13,ELL,Not ELL,Bozrah,2007,21,253.3
13,ELL,Not ELL,Bozrah,2008,25,246
13,ELL,ELL,Bozrah,2009,-,-
13,ELL,Not ELL,Bozrah,2009,25,244.2
13,ELL,Not ELL,Bozrah,2010,20,267
13,ELL,Not ELL,Bozrah,2011,-,-
13,ELL,Not ELL,Bozrah,2012,-,-
13,ELL,Not ELL,Bozrah,2013,23,248.5
14,ELL,ELL,Branford,2006,-,-
14,ELL,Not ELL,Branford,2006,240,254.9
14,ELL,ELL,Branford,2007,-,-
14,ELL,Not ELL,Branford,2007,255,252.1
14,ELL,ELL,Branford,2008,-,-
14,ELL,Not ELL,Branford,2008,244,245.8
14,ELL,ELL,Branford,2009,-,-
14,ELL,Not ELL,Branford,2009,226,245.5
14,ELL,ELL,Branford,2010,-,-
14,ELL,Not ELL,Branford,2010,208,246.2
14,ELL,ELL,Branford,2011,-,-
14,ELL,Not ELL,Branford,2011,218,253.9
14,ELL,ELL,Branford,2012,-,-
14,ELL,Not ELL,Branford,2012,202,260.7
14,ELL,ELL,Branford,2013,-,-
14,ELL,Not ELL,Branford,2013,205,246.2
15,ELL,ELL,Bridgeport,2006,250,201.3
15,ELL,Not ELL,Bridgeport,2006,1409,208.8
15,ELL,ELL,Bridgeport,2007,191,187.9
15,ELL,Not ELL,Bridgeport,2007,1484,207.5
15,ELL,ELL,Bridgeport,2008,126,178.5
15,ELL,Not ELL,Bridgeport,2008,1413,209
15,ELL,ELL,Bridgeport,2009,193,180
15,ELL,Not ELL,Bridgeport,2009,1441,209.7
15,ELL,ELL,Bridgeport,2010,186,178
15,ELL,Not ELL,Bridgeport,2010,1311,210.7
15,ELL,ELL,Bridgeport,2011,160,175.2
15,ELL,Not ELL,Bridgeport,2011,1444,208.7
15,ELL,ELL,Bridgeport,2012,134,182.8
15,ELL,Not ELL,Bridgeport,2012,1424,212.5
15,ELL,ELL,Bridgeport,2013,180,177.5
15,ELL,Not ELL,Bridgeport,2013,1387,212.5
17,ELL,ELL,Bristol,2006,20,197.7
17,ELL,Not ELL,Bristol,2006,622,235.2
17,ELL,ELL,Bristol,2007,23,183
17,ELL,Not ELL,Bristol,2007,644,233.4
17,ELL,ELL,Bristol,2008,22,195.2
17,ELL,Not ELL,Bristol,2008,608,236
17,ELL,ELL,Bristol,2009,21,193.8
17,ELL,Not ELL,Bristol,2009,532,239.7
17,ELL,ELL,Bristol,2010,20,187.8
17,ELL,Not ELL,Bristol,2010,585,229.1
17,ELL,ELL,Bristol,2011,-,-
17,ELL,Not ELL,Bristol,2011,509,233.8
17,ELL,ELL,Bristol,2012,-,-
17,ELL,Not ELL,Bristol,2012,593,233.8
17,ELL,ELL,Bristol,2013,-,-
17,ELL,Not ELL,Bristol,2013,558,229.9
18,ELL,ELL,Brookfield,2006,-,-
18,ELL,Not ELL,Brookfield,2006,203,253.2
18,ELL,ELL,Brookfield,2007,-,-
18,ELL,Not ELL,Brookfield,2007,189,261
18,ELL,Not ELL,Brookfield,2008,228,254.5
18,ELL,ELL,Brookfield,2009,-,-
18,ELL,Not ELL,Brookfield,2009,186,254.8
18,ELL,ELL,Brookfield,2010,-,-
18,ELL,Not ELL,Brookfield,2010,193,253.3
18,ELL,Not ELL,Brookfield,2011,166,254.3
18,ELL,ELL,Brookfield,2012,-,-
18,ELL,Not ELL,Brookfield,2012,203,258.6
18,ELL,ELL,Brookfield,2013,-,-
18,ELL,Not ELL,Brookfield,2013,207,261
19,ELL,Not ELL,Brooklyn,2006,93,239.1
19,ELL,Not ELL,Brooklyn,2007,93,236.2
19,ELL,Not ELL,Brooklyn,2008,101,231.1
19,ELL,Not ELL,Brooklyn,2009,88,234.1
19,ELL,Not ELL,Brooklyn,2010,111,233.2
19,ELL,Not ELL,Brooklyn,2011,93,241.1
19,ELL,Not ELL,Brooklyn,2012,84,249
19,ELL,Not ELL,Brooklyn,2013,77,242.9
22,ELL,Not ELL,Canterbury,2006,59,239.9
22,ELL,Not ELL,Canterbury,2007,47,239.6
22,ELL,Not ELL,Canterbury,2008,57,231.2
22,ELL,Not ELL,Canterbury,2009,44,246.1
22,ELL,Not ELL,Canterbury,2010,57,252.3
22,ELL,Not ELL,Canterbury,2011,68,250.4
22,ELL,Not ELL,Canterbury,2012,64,253.3
22,ELL,Not ELL,Canterbury,2013,37,252.9
23,ELL,ELL,Canton,2006,-,-
23,ELL,Not ELL,Canton,2006,139,256.9
23,ELL,ELL,Canton,2007,-,-
23,ELL,Not ELL,Canton,2007,115,253.7
23,ELL,ELL,Canton,2008,-,-
23,ELL,Not ELL,Canton,2008,134,249.4
23,ELL,ELL,Canton,2009,-,-
23,ELL,Not ELL,Canton,2009,127,269.8
23,ELL,ELL,Canton,2010,-,-
23,ELL,Not ELL,Canton,2010,124,256.5
23,ELL,ELL,Canton,2011,-,-
23,ELL,Not ELL,Canton,2011,139,251.9
23,ELL,Not ELL,Canton,2012,149,263.3
23,ELL,Not ELL,Canton,2013,130,265.1
24,ELL,Not ELL,Chaplin,2006,32,223
24,ELL,Not ELL,Chaplin,2007,20,211.8
24,ELL,Not ELL,Chaplin,2008,29,227.6
24,ELL,Not ELL,Chaplin,2009,-,-
24,ELL,Not ELL,Chaplin,2010,-,-
24,ELL,Not ELL,Chaplin,2011,23,233.5
24,ELL,Not ELL,Chaplin,2012,20,236.7
24,ELL,ELL,Chaplin,2013,NA,NA
24,ELL,Not ELL,Chaplin,2013,-,-
25,ELL,ELL,Cheshire,2006,-,-
25,ELL,Not ELL,Cheshire,2006,390,255.4
25,ELL,ELL,Cheshire,2007,-,-
25,ELL,Not ELL,Cheshire,2007,380,249.1
25,ELL,ELL,Cheshire,2008,-,-
25,ELL,Not ELL,Cheshire,2008,360,253
25,ELL,ELL,Cheshire,2009,-,-
25,ELL,Not ELL,Cheshire,2009,322,256.3
25,ELL,ELL,Cheshire,2010,-,-
25,ELL,Not ELL,Cheshire,2010,346,255.4
25,ELL,ELL,Cheshire,2011,-,-
25,ELL,Not ELL,Cheshire,2011,340,260.7
25,ELL,ELL,Cheshire,2012,-,-
25,ELL,Not ELL,Cheshire,2012,336,256.4
25,ELL,ELL,Cheshire,2013,-,-
25,ELL,Not ELL,Cheshire,2013,360,254.2
26,ELL,Not ELL,Chester,2006,54,248.7
26,ELL,Not ELL,Chester,2007,52,244.2
26,ELL,Not ELL,Chester,2008,41,251.5
26,ELL,Not ELL,Chester,2009,37,259.4
26,ELL,Not ELL,Chester,2010,40,263.8
26,ELL,Not ELL,Chester,2011,42,264.7
26,ELL,Not ELL,Chester,2012,34,265
26,ELL,Not ELL,Chester,2013,35,274.8
27,ELL,ELL,Clinton,2006,-,-
27,ELL,Not ELL,Clinton,2006,166,252.1
27,ELL,Not ELL,Clinton,2007,163,251
27,ELL,ELL,Clinton,2008,-,-
27,ELL,Not ELL,Clinton,2008,146,246.1
27,ELL,ELL,Clinton,2009,-,-
27,ELL,Not ELL,Clinton,2009,148,238.5
27,ELL,ELL,Clinton,2010,-,-
27,ELL,Not ELL,Clinton,2010,146,249.1
27,ELL,ELL,Clinton,2011,-,-
27,ELL,Not ELL,Clinton,2011,162,247.2
27,ELL,Not ELL,Clinton,2012,142,259.8
27,ELL,ELL,Clinton,2013,-,-
27,ELL,Not ELL,Clinton,2013,133,251.9
28,ELL,ELL,Colchester,2006,-,-
28,ELL,Not ELL,Colchester,2006,226,235.4
28,ELL,ELL,Colchester,2007,-,-
28,ELL,Not ELL,Colchester,2007,238,236.1
28,ELL,ELL,Colchester,2008,-,-
28,ELL,Not ELL,Colchester,2008,211,240
28,ELL,ELL,Colchester,2009,-,-
28,ELL,Not ELL,Colchester,2009,226,247.5
28,ELL,Not ELL,Colchester,2010,230,250
28,ELL,ELL,Colchester,2011,-,-
28,ELL,Not ELL,Colchester,2011,208,242.6
28,ELL,ELL,Colchester,2012,-,-
28,ELL,Not ELL,Colchester,2012,192,254.5
28,ELL,ELL,Colchester,2013,-,-
28,ELL,Not ELL,Colchester,2013,212,248.3
29,ELL,Not ELL,Colebrook,2006,-,-
29,ELL,Not ELL,Colebrook,2007,-,-
29,ELL,Not ELL,Colebrook,2008,-,-
29,ELL,Not ELL,Colebrook,2009,-,-
29,ELL,Not ELL,Colebrook,2010,21,243
29,ELL,Not ELL,Colebrook,2011,-,-
29,ELL,Not ELL,Colebrook,2012,-,-
29,ELL,Not ELL,Colebrook,2013,-,-
30,ELL,Not ELL,Columbia,2006,52,229.5
30,ELL,Not ELL,Columbia,2007,62,225.3
30,ELL,Not ELL,Columbia,2008,66,237.8
30,ELL,Not ELL,Columbia,2009,63,242.7
30,ELL,Not ELL,Columbia,2010,56,244.6
30,ELL,Not ELL,Columbia,2011,57,238.5
30,ELL,Not ELL,Columbia,2012,52,241.4
30,ELL,Not ELL,Columbia,2013,42,236.1
32,ELL,Not ELL,Coventry,2006,161,235
32,ELL,Not ELL,Coventry,2007,149,243.1
32,ELL,Not ELL,Coventry,2008,156,247.6
32,ELL,Not ELL,Coventry,2009,141,244.7
32,ELL,Not ELL,Coventry,2010,114,247.7
32,ELL,Not ELL,Coventry,2011,143,246.1
32,ELL,Not ELL,Coventry,2012,132,257.7
32,ELL,Not ELL,Coventry,2013,116,251
33,ELL,ELL,Cromwell,2006,-,-
33,ELL,Not ELL,Cromwell,2006,129,239.7
33,ELL,ELL,Cromwell,2007,-,-
33,ELL,Not ELL,Cromwell,2007,154,245.6
33,ELL,ELL,Cromwell,2008,-,-
33,ELL,Not ELL,Cromwell,2008,147,235.9
33,ELL,ELL,Cromwell,2009,-,-
33,ELL,Not ELL,Cromwell,2009,148,252.8
33,ELL,ELL,Cromwell,2010,-,-
33,ELL,Not ELL,Cromwell,2010,155,243.9
33,ELL,ELL,Cromwell,2011,-,-
33,ELL,Not ELL,Cromwell,2011,136,258.9
33,ELL,ELL,Cromwell,2012,-,-
33,ELL,Not ELL,Cromwell,2012,144,264.3
33,ELL,ELL,Cromwell,2013,-,-
33,ELL,Not ELL,Cromwell,2013,139,254.1
34,ELL,ELL,Danbury,2006,125,199.3
34,ELL,Not ELL,Danbury,2006,569,234.1
34,ELL,ELL,Danbury,2007,116,199.2
34,ELL,Not ELL,Danbury,2007,567,232.9
34,ELL,ELL,Danbury,2008,125,195.1
34,ELL,Not ELL,Danbury,2008,622,230.9
34,ELL,ELL,Danbury,2009,131,205.5
34,ELL,Not ELL,Danbury,2009,592,238.6
34,ELL,ELL,Danbury,2010,147,202.7
34,ELL,Not ELL,Danbury,2010,580,237.4
34,ELL,ELL,Danbury,2011,176,207.5
34,ELL,Not ELL,Danbury,2011,604,243.4
34,ELL,ELL,Danbury,2012,186,204.7
34,ELL,Not ELL,Danbury,2012,658,242.9
34,ELL,ELL,Danbury,2013,160,200
34,ELL,Not ELL,Danbury,2013,594,237
35,ELL,ELL,Darien,2006,-,-
35,ELL,Not ELL,Darien,2006,375,265.9
35,ELL,ELL,Darien,2007,-,-
35,ELL,Not ELL,Darien,2007,384,260.9
35,ELL,ELL,Darien,2008,-,-
35,ELL,Not ELL,Darien,2008,369,267
35,ELL,ELL,Darien,2009,-,-
35,ELL,Not ELL,Darien,2009,394,262.3
35,ELL,ELL,Darien,2010,-,-
35,ELL,Not ELL,Darien,2010,359,262.7
35,ELL,Not ELL,Darien,2011,360,262.8
35,ELL,ELL,Darien,2012,-,-
35,ELL,Not ELL,Darien,2012,351,267.2
35,ELL,ELL,Darien,2013,-,-
35,ELL,Not ELL,Darien,2013,422,264.4
36,ELL,Not ELL,Deep River,2006,52,258.4
36,ELL,ELL,Deep River,2007,-,-
36,ELL,Not ELL,Deep River,2007,53,256.8
36,ELL,ELL,Deep River,2008,-,-
36,ELL,Not ELL,Deep River,2008,42,241.9
36,ELL,ELL,Deep River,2009,-,-
36,ELL,Not ELL,Deep River,2009,52,249.5
36,ELL,ELL,Deep River,2010,-,-
36,ELL,Not ELL,Deep River,2010,50,245.4
36,ELL,Not ELL,Deep River,2011,50,248.2
36,ELL,Not ELL,Deep River,2012,40,262.8
36,ELL,ELL,Deep River,2013,-,-
36,ELL,Not ELL,Deep River,2013,48,255.5
37,ELL,ELL,Derby,2006,-,-
37,ELL,Not ELL,Derby,2006,92,222.5
37,ELL,ELL,Derby,2007,-,-
37,ELL,Not ELL,Derby,2007,77,234.2
37,ELL,ELL,Derby,2008,-,-
37,ELL,Not ELL,Derby,2008,94,232.1
37,ELL,ELL,Derby,2009,-,-
37,ELL,Not ELL,Derby,2009,115,229.4
37,ELL,ELL,Derby,2010,-,-
37,ELL,Not ELL,Derby,2010,91,235.3
37,ELL,ELL,Derby,2011,-,-
37,ELL,Not ELL,Derby,2011,84,228.2
37,ELL,ELL,Derby,2012,-,-
37,ELL,Not ELL,Derby,2012,100,230
37,ELL,ELL,Derby,2013,-,-
37,ELL,Not ELL,Derby,2013,106,232.4
39,ELL,Not ELL,Eastford,2006,-,-
39,ELL,Not ELL,Eastford,2007,-,-
39,ELL,Not ELL,Eastford,2008,24,264.2
39,ELL,Not ELL,Eastford,2009,-,-
39,ELL,Not ELL,Eastford,2010,22,264.9
39,ELL,Not ELL,Eastford,2011,-,-
39,ELL,Not ELL,Eastford,2012,-,-
39,ELL,Not ELL,Eastford,2013,-,-
40,ELL,ELL,East Granby,2006,-,-
40,ELL,Not ELL,East Granby,2006,63,247.9
40,ELL,ELL,East Granby,2007,-,-
40,ELL,Not ELL,East Granby,2007,79,246.2
40,ELL,Not ELL,East Granby,2008,63,248.6
40,ELL,Not ELL,East Granby,2009,72,254.9
40,ELL,ELL,East Granby,2010,-,-
40,ELL,Not ELL,East Granby,2010,81,247.3
40,ELL,Not ELL,East Granby,2011,53,261.8
40,ELL,Not ELL,East Granby,2012,71,250.4
40,ELL,ELL,East Granby,2013,-,-
40,ELL,Not ELL,East Granby,2013,58,245.7
41,ELL,Not ELL,East Haddam,2006,132,246.2
41,ELL,Not ELL,East Haddam,2007,98,255
41,ELL,ELL,East Haddam,2008,-,-
41,ELL,Not ELL,East Haddam,2008,101,242.7
41,ELL,ELL,East Haddam,2009,-,-
41,ELL,Not ELL,East Haddam,2009,104,238.3
41,ELL,Not ELL,East Haddam,2010,85,264.7
41,ELL,Not ELL,East Haddam,2011,95,257.6
41,ELL,Not ELL,East Haddam,2012,99,270.5
41,ELL,Not ELL,East Haddam,2013,83,263.9
42,ELL,Not ELL,East Hampton,2006,160,249.8
42,ELL,ELL,East Hampton,2007,-,-
42,ELL,Not ELL,East Hampton,2007,179,246.4
42,ELL,ELL,East Hampton,2008,-,-
42,ELL,Not ELL,East Hampton,2008,165,245.9
42,ELL,ELL,East Hampton,2009,-,-
42,ELL,Not ELL,East Hampton,2009,131,249.2
42,ELL,Not ELL,East Hampton,2010,145,249.5
42,ELL,Not ELL,East Hampton,2011,143,251.4
42,ELL,ELL,East Hampton,2012,-,-
42,ELL,Not ELL,East Hampton,2012,135,249.5
42,ELL,Not ELL,East Hampton,2013,144,248.8
43,ELL,ELL,East Hartford,2006,59,184
43,ELL,Not ELL,East Hartford,2006,499,214.4
43,ELL,ELL,East Hartford,2007,39,178
43,ELL,Not ELL,East Hartford,2007,484,217.9
43,ELL,ELL,East Hartford,2008,41,184.4
43,ELL,Not ELL,East Hartford,2008,486,213.4
43,ELL,ELL,East Hartford,2009,39,190.5
43,ELL,Not ELL,East Hartford,2009,441,213.6
43,ELL,ELL,East Hartford,2010,56,192.3
43,ELL,Not ELL,East Hartford,2010,472,214.5
43,ELL,ELL,East Hartford,2011,52,188.9
43,ELL,Not ELL,East Hartford,2011,426,213.4
43,ELL,ELL,East Hartford,2012,46,185.4
43,ELL,Not ELL,East Hartford,2012,490,222.7
43,ELL,ELL,East Hartford,2013,53,186.7
43,ELL,Not ELL,East Hartford,2013,434,214.5
44,ELL,ELL,East Haven,2006,-,-
44,ELL,Not ELL,East Haven,2006,261,225.4
44,ELL,ELL,East Haven,2007,-,-
44,ELL,Not ELL,East Haven,2007,263,231.2
44,ELL,ELL,East Haven,2008,-,-
44,ELL,Not ELL,East Haven,2008,261,232.3
44,ELL,ELL,East Haven,2009,-,-
44,ELL,Not ELL,East Haven,2009,232,232.8
44,ELL,ELL,East Haven,2010,-,-
44,ELL,Not ELL,East Haven,2010,208,229
44,ELL,ELL,East Haven,2011,21,183.5
44,ELL,Not ELL,East Haven,2011,242,220.6
44,ELL,ELL,East Haven,2012,31,200.8
44,ELL,Not ELL,East Haven,2012,214,230.7
44,ELL,ELL,East Haven,2013,-,-
44,ELL,Not ELL,East Haven,2013,189,229.2
45,ELL,Not ELL,East Lyme,2006,184,249
45,ELL,ELL,East Lyme,2007,-,-
45,ELL,Not ELL,East Lyme,2007,178,255.5
45,ELL,ELL,East Lyme,2008,-,-
45,ELL,Not ELL,East Lyme,2008,193,255.5
45,ELL,ELL,East Lyme,2009,-,-
45,ELL,Not ELL,East Lyme,2009,192,255.1
45,ELL,ELL,East Lyme,2010,-,-
45,ELL,Not ELL,East Lyme,2010,195,251
45,ELL,ELL,East Lyme,2011,-,-
45,ELL,Not ELL,East Lyme,2011,199,261.1
45,ELL,ELL,East Lyme,2012,-,-
45,ELL,Not ELL,East Lyme,2012,184,260.7
45,ELL,ELL,East Lyme,2013,-,-
45,ELL,Not ELL,East Lyme,2013,171,258.4
46,ELL,Not ELL,Easton,2006,132,258.7
46,ELL,Not ELL,Easton,2007,125,260.6
46,ELL,Not ELL,Easton,2008,132,259.5
46,ELL,ELL,Easton,2009,-,-
46,ELL,Not ELL,Easton,2009,121,266.9
46,ELL,Not ELL,Easton,2010,126,265.7
46,ELL,Not ELL,Easton,2011,110,271.1
46,ELL,Not ELL,Easton,2012,99,277.1
46,ELL,Not ELL,Easton,2013,89,269
47,ELL,ELL,East Windsor,2006,-,-
47,ELL,Not ELL,East Windsor,2006,96,225.2
47,ELL,ELL,East Windsor,2007,-,-
47,ELL,Not ELL,East Windsor,2007,120,227.7
47,ELL,ELL,East Windsor,2008,-,-
47,ELL,Not ELL,East Windsor,2008,97,228.2
47,ELL,ELL,East Windsor,2009,-,-
47,ELL,Not ELL,East Windsor,2009,106,228.8
47,ELL,ELL,East Windsor,2010,-,-
47,ELL,Not ELL,East Windsor,2010,96,227.6
47,ELL,ELL,East Windsor,2011,-,-
47,ELL,Not ELL,East Windsor,2011,91,239.6
47,ELL,ELL,East Windsor,2012,-,-
47,ELL,Not ELL,East Windsor,2012,83,234.4
47,ELL,ELL,East Windsor,2013,-,-
47,ELL,Not ELL,East Windsor,2013,82,238.6
48,ELL,ELL,Ellington,2006,-,-
48,ELL,Not ELL,Ellington,2006,191,255.4
48,ELL,ELL,Ellington,2007,-,-
48,ELL,Not ELL,Ellington,2007,180,254.5
48,ELL,ELL,Ellington,2008,-,-
48,ELL,Not ELL,Ellington,2008,209,250.6
48,ELL,ELL,Ellington,2009,NA,NA
48,ELL,Not ELL,Ellington,2009,192,251.8
48,ELL,ELL,Ellington,2010,-,-
48,ELL,Not ELL,Ellington,2010,197,251.6
48,ELL,ELL,Ellington,2011,-,-
48,ELL,Not ELL,Ellington,2011,198,252.3
48,ELL,ELL,Ellington,2012,-,-
48,ELL,Not ELL,Ellington,2012,190,257.6
48,ELL,ELL,Ellington,2013,-,-
48,ELL,Not ELL,Ellington,2013,204,258.2
49,ELL,ELL,Enfield,2006,-,-
49,ELL,Not ELL,Enfield,2006,416,239.1
49,ELL,ELL,Enfield,2007,-,-
49,ELL,Not ELL,Enfield,2007,447,238.7
49,ELL,ELL,Enfield,2008,-,-
49,ELL,Not ELL,Enfield,2008,439,230.7
49,ELL,ELL,Enfield,2009,-,-
49,ELL,Not ELL,Enfield,2009,430,239.6
49,ELL,ELL,Enfield,2010,-,-
49,ELL,Not ELL,Enfield,2010,402,240.7
49,ELL,ELL,Enfield,2011,-,-
49,ELL,Not ELL,Enfield,2011,402,245.3
49,ELL,ELL,Enfield,2012,-,-
49,ELL,Not ELL,Enfield,2012,377,247.6
49,ELL,ELL,Enfield,2013,-,-
49,ELL,Not ELL,Enfield,2013,344,247.6
50,ELL,Not ELL,Essex,2006,91,255.8
50,ELL,Not ELL,Essex,2007,65,259.4
50,ELL,Not ELL,Essex,2008,78,256.2
50,ELL,Not ELL,Essex,2009,95,263.1
50,ELL,Not ELL,Essex,2010,70,259.5
50,ELL,ELL,Essex,2011,-,-
50,ELL,Not ELL,Essex,2011,71,254.6
50,ELL,Not ELL,Essex,2012,76,257.5
50,ELL,ELL,Essex,2013,-,-
50,ELL,Not ELL,Essex,2013,83,264.6
51,ELL,ELL,Fairfield,2006,-,-
51,ELL,Not ELL,Fairfield,2006,698,259.9
51,ELL,ELL,Fairfield,2007,-,-
51,ELL,Not ELL,Fairfield,2007,788,251.6
51,ELL,ELL,Fairfield,2008,-,-
51,ELL,Not ELL,Fairfield,2008,803,261.4
51,ELL,ELL,Fairfield,2009,-,-
51,ELL,Not ELL,Fairfield,2009,776,258.6
51,ELL,ELL,Fairfield,2010,26,201.4
51,ELL,Not ELL,Fairfield,2010,803,260.8
51,ELL,ELL,Fairfield,2011,-,-
51,ELL,Not ELL,Fairfield,2011,722,262.2
51,ELL,ELL,Fairfield,2012,25,206.3
51,ELL,Not ELL,Fairfield,2012,767,264.3
51,ELL,ELL,Fairfield,2013,-,-
51,ELL,Not ELL,Fairfield,2013,696,266
